Venue Category,Venue Group
Egyptian Restaurant,African Cuisine
Ethiopian Restaurant,African Cuisine
Airport,Airport-Related
Airport Service,Airport-Related
Airport Terminal,Airport-Related
American Restaurant,American Cuisine
Cafe,American Cuisine
Comfort Food Restaurant,American Cuisine
Diner,American Cuisine
New American Restaurant,American Cuisine
Restaurant,American Cuisine
Salad Place,American Cuisine
Steakhouse,American Cuisine
Antique Shop,Art/Antiques
Art Gallery,Art/Antiques
Opera House,Arts/Entertainment
Performing Arts Venue,Arts/Entertainment
Sculpture Garden,Arts/Entertainment
Asian Restaurant,Asian Cuisine
Chinese Restaurant,Asian Cuisine
Indian Restaurant,Asian Cuisine
Japanese Restaurant,Asian Cuisine
Korean Restaurant,Asian Cuisine
Noodle House,Asian Cuisine
Persian Restaurant,Asian Cuisine
Sushi Restaurant,Asian Cuisine
Thai Restaurant,Asian Cuisine
Vietnamese Restaurant,Asian Cuisine
Bike Rental / Bike Share,Athletic Store
Disc Golf,Athletic Store
Sporting Goods Shop,Athletic Store
Athletics & Sports,Athletic Venue
Baseball Field,Athletic Venue
Basketball Court,Athletic Venue
Bowling Alley,Athletic Venue
College Stadium,Athletic Venue
Football Stadium,Athletic Venue
Golf Course,Athletic Venue
Martial Arts Dojo,Athletic Venue
Pool,Athletic Venue
Recreation Center,Athletic Venue
Skating Rink,Athletic Venue
Soccer Field,Athletic Venue
Tennis Court,Athletic Venue
Track,Athletic Venue
Volleyball Court,Athletic Venue
Auto Garage,Automotive Venue
Auto Workshop,Automotive Venue
Automotive Shop,Automotive Venue
Bookstore,Bookstore
College Bookstore,Bookstore
Bar,Drinking Establishment
Beer Bar,Drinking Establishment
Beer Garden,Drinking Establishment
Brewery,Drinking Establishment
Cocktail Bar,Drinking Establishment
Dive Bar,Drinking Establishment
Gay Bar,Drinking Establishment
Hotel Bar,Drinking Establishment
Lounge,Drinking Establishment
Nightclub,Drinking Establishment
Nightlife Spot,Drinking Establishment
Pub,Drinking Establishment
Sports Bar,Drinking Establishment
Wine Bar,Drinking Establishment
Aquarium,Entertainment Venue
Arcade,Entertainment Venue
General Entertainment,Entertainment Venue
Movie Theater,Entertainment Venue
Multiplex,Entertainment Venue
Music Venue,Entertainment Venue
Pool Hall,Entertainment Venue
Rock Club,Entertainment Venue
Roof Deck,Entertainment Venue
Theater,Entertainment Venue
Theme Park Ride / Attraction,Entertainment Venue
